source,listing_id,title,rent_gross_chf,rent_net_chf,rent_charges_chf,rooms,living_space_m2,floor,year_built,street,zip,city,lat,lon,url,object_type,description,attributes,is_furnished,year_renovated,moving_date
flatfox,86397342,,2578,,,3.5,82,3,,Russenweg 5,8008,Zürich,47.356870842109,8.572741771281,https://flatfox.ch/de/wohnung/russenweg-5-8008-zurich/86397342/,APARTMENT,"Diese wunderschöne 3,5-Zimmer-Altbauwohnung befindet sich in einer der begehrtesten Wohnlagen Zürichs – im oberen Kreis 8. Die Wohnung erstreckt sich über eine ganze, sehr helle Etage und überzeugt durch ihren klassischen Altbaucharme, großzügige Räume und viel Tageslicht dank Fenstern auf drei Seiten.  
  
Highlights der Wohnung:  
• Ca. 82 m² Wohnfläche  
• Großes, lichtdurchflutetes Wohnzimmer mit Erker  
• Zwei separate Schlafzimmer  
• Zwei Balkone – ein großer Balkon sowie ein zusätzlicher Balkon bei der Küche  
• Geräumige Küche mit Platz für einen Esstisch  
• Helle Räume und angenehme Wohnatmosphäre  
• Klassischer Zürcher Altbaucharme  
  
Top Lage im Kreis 8  
Die Wohnung liegt in einem ruhigen und gepflegten Wohnviertel mit hervorragender Infrastruktur:  
  
• Migros und Denner nur 1 Gehminute entfernt  
• Tramhaltestelle in unmittelbarer Nähe  
• Bellevue und das Zürcher Stadtzentrum in ca. 10 Minuten erreichbar  
• Zürihorn und Zürichsee in wenigen Minuten  
• Natur- und Erholungsgebiete nur 2 Minuten entfernt  
  
Perfekt für Paare, Berufstätige oder kleine Familien, die eine stilvolle Wohnung in einer ruhigen und gleichzeitig zentralen Lage suchen.  
  
Bei Interesse senden Sie mir gerne eine Nachricht mit einigen Informationen zu Ihrer Person und der gewünschten Mietdauer. Weitere Details erhalten Sie anschließend direkt.","lift,balconygarden,washingmachine,petsallowed",True,,2026-10-01
flatfox,86397349,,3100,,240,2.5,73,4,,,8047,Zurich,47.372954742101,8.490571771281,https://flatfox.ch/de/wohnung/8047-zurich/86397349/,APARTMENT,"Available for takeover from the end of November / beginning of December, with theexact date to be agreed upon. This beautiful apartment is located in the sought-afterTriemli area, in a quiet and residential neighborhood, with a view towards Uetliberg.  
The apartment is located on the 4th floor, without an elevator, and benefits from plenty of natural light as well as lovely outdoor spaces.  
  
The apartment includes:  

*   A spacious 20 m2 bedroom, bright and with direct access to the terrace
*   Two terraces:
*   A large terrace of approximately 13.5 m2
*   A second terrace of approximately 7 m2
*   A fully equipped kitchen
*   A bathroom with a shower and an integrated electric skylight
*   Washing machine and dryer directly in the apartment
*   Underfloor heating
*   Electric blinds on both terraces, as well as electric shutters on all windows
*   Plenty of storage space
*   A basement/storage room of approximately 10 m2
*   An outdoor parking space, available for CHF 90/month
*   Possibility of an underground parking space as well, subject to availability
*   Free bicycle parking

LOCATION  
  
The apartment is ideally located in Triemli, within immediate reach of all amenities, including Coop, pharmacies, restaurants and shops.  
Public transport is also just a few minutes walk away:  

*   Tram lines 9 and 14: approximately 2 minutes on foot
*   Bus lines 80 and 33: approximately 2 minutes on foot

The location also offers easy access to nature and Uetliberg, while remainingwell connected to Zurich city center.  
Takeover: end of November / beginning of December, exact date to be agreed upon.","parkingspace,balconygarden,dishwasher,parquetflooring,tumbler,washingmachine",False,,
flatfox,86397394,,2350,,,2.5,60,,,Frohburgstrasse 325,8057,Zürich,47.403884042107,8.560131771284,https://flatfox.ch/de/wohnung/frohburgstrasse-325-8057-zurich/86397394/,APARTMENT,"Diese helle, individuell gestaltete Wohnung mit unverbaubarer, freier Aussicht in direkter Waldnähe am Zürichberg mit kurzem Fussweg zum Überlandpark und zum Universitätsareal Irchel, wird von einer privaten Person vermietet.   
  
Sie ist zentral gelegen, dennoch ruhig und bietet viel Privatsphäre. Innerhalb von 7 min sind sie am Schaffhauserplatz.   
  
Die Installation von einem Wallbox Anschluss ist möglich. Der Flughafen Zürich ist schnell erreichbar, ohne dass Fluglärm die Wohnanlage beeinträchtigt.   
  
Verfügbar ab 1.12.2026 (eventuell nach Absprache schon ab Mitte November)   
Zimmer 2,5   
Wohnfläche 60 qm   
Parkett, moderne schalldichte Fenster   
Etage 1   
letzte Renovation 2024   
Balkon mit Aussicht   
Glasfaser Breitband Anschluss   
Lift   
Velokeller   
Zürichberg Naherholungsgebiet direktschräg gegenüber   
Top ÖV Anbindung (Tram7/9, Bus 75)   
Nichtraucher, Haustiere müssen genehmigt werden   
Tiefgaragenparkplatz kann dazu gemietet werden   
Besucherparkplätze vorhanden   
  
Besichtigung und Kontakt   
Besichtigung nach Absprache   
Kontakt Sarah: 0788292429",,False,,
flatfox,86397402,,1600,,150,4.5,95,3,1800,Garten 1,8487,Zell,47.457114742103,8.835211771288,https://flatfox.ch/de/wohnung/garten-1-8487-zell/86397402/,APARTMENT,"Die Wohnung ist umgeben von Natur, ruhig und bietet viel Gemütlichkeit und eine grossartige Aussicht über das Tösstal. Sie ist Teil eines ehemaligen Bauernhauses. Die sonnige Terrasse darf mitgenutzt werden. Ein gedeckter Parkplatz ist vorhanden. Auto oder E-Bike sind empfohlen, da keine direkte ÖV Anbindung.  
  
Mitdauer ab sofort bis Oktober 2027.","view,parkingspace,balconygarden,parquetflooring,fireplace,dishwasher,tumbler,washingmachine",True,1989,
flatfox,86397431,,2090,,250,4.5,,3,,Im Chrüzacher  1,8306,Brüttisellen,47.424354742104,8.630411771288,https://flatfox.ch/de/wohnung/im-chruzacher-1-8306-bruttisellen/86397431/,APARTMENT,"Setzen Sie Ihren Traum vom hochwertigen Wohnen um!  
  
Die Liegenschaft ""Im Chrüzacher 1, 8306 Brüttisellen"" wurde mit viel Liebe zum Detail umfassend saniert. Nun stehen exklusive 4.5-Zi-Wohnungen zum Erstbezug bereit.  
  
Der hohe Ausbaustandard sorgt für ein angenehmes Wohngefühl und erstklassigen Komfort  
  
Ihre Wohnqualität auf einen Blick:  
  
*   langer Korridor mit Einbauschränke
*   helle Räume mit hochwertigen Bodenbelägen
*   moderne Küche mit zeitgemäßer Ausstattung
*   Dusche mit Einrichtung für Waschmaschine / Tumbler
*   WC mit Lavabo
*   gemütlicher Balkon zum Entspannen
Garagen-Einstellplatz kann für Fr. 120.- monatlich dazugemietet werden.  
  
Die Wohnungen eignen sich perfekt für Singles, Paare und Kleinfamilien. Der exzellente Wohnkomfort zeichnet sich durch den stilvollen Grundriss, die super Lage und die optimale Anbindung an den öffentlichen Verkehr und Einkaufsmöglichkeiten aus. Denner und Post, wie auch Schule und Kindergarten in unmittelbarer Nähe.  
 
Lassen Sie sich bei einer persönlichen Besichtigung vor Ort begeistern!","garage,balconygarden,dishwasher,tumbler,washingmachine",False,2026,
flatfox,86397461,,,2400,,4.0,,,,Bändlistrasse 54,8064,Zürich,47.396634742103,8.485061771288,https://flatfox.ch/de/wohnung/bandlistrasse-54-8064-zurich/86397461/,APARTMENT,"Möblierte und familienfreundliche Wohnung in Zürich Altstetten zur Untermiete  
Wir vermieten unsere gemütliche, helle und komplett möblierte Familienwohnung in Zürich Altstetten, Grünau, vom **10\. Januar bis Ende Februar**.  
Die Wohnung ist ideal für eine Familie mit Kindern. Sie ist vollständig eingerichtet und bietet alles, was man für einen entspannten Familienalltag braucht. Einziehen und wohlfühlen.  
Die Wohnung verfügt über ein **Familienzimmer mit grossem Familienbett**, einen hellen und gemütlichen **Wohn- und Essbereich**, ein **separates Büro** sowie ein **Garderoben- und Ankleidezimmer**.  
Das Badezimmer verfügt über **Badewanne und separate Dusche**. Zusätzlich gibt es ein **Gäste-WC**.  
Ideal für Familien mit Kindern  
Die Wohnung ist sehr kinderfreundlich eingerichtet. Es gibt einen grosszügigen **Spiel- und Kreativbereich mit Spielsachen, Büchern und verschiedenen Beschäftigungsmöglichkeiten**.  
Auch auf dem Balkon gibt es einen eigenen Kinderbereich mit **Matschküche und weiteren Spielmöglichkeiten**. In der näheren Umgebung befinden sich mehrere Spielplätze.  
Lage  
Die Wohnung befindet sich in **Zürich Altstetten, Grünau**.  
Die **Migros ist nur etwa 1 Gehminute entfernt**. Die **ÖV-Haltestelle befindet sich nur etwa 20 Meter entfernt**. Der **Bahnhof Zürich Altstetten** ist ebenfalls schnell erreichbar.  
Eckdaten  
Zeitraum: **10\. Januar bis Ende Februar**  
Miete: **CHF 2'300 pro Monat inklusive Nebenkosten**  
Komplett möbliert  
Familienzimmer mit grossem Familienbett  
Separates Büro  
Garderoben- und Ankleidezimmer  
Badezimmer mit Badewanne und separater Dusche  
Zusätzliches Gäste-WC  
Balkon mit Matschküche und Kinderspielbereich  
Sehr kinderfreundlich eingerichtet  
Migros und ÖV direkt in der Nähe  
Bahnhof Zürich Altstetten schnell erreichbar  
Wir suchen zuverlässige und sorgfältige Untermieter, die sich während dieser Zeit bei uns zuhause fühlen und sorgsam mit der Wohnung umgehen.  
**Bei Interesse freuen wir uns über eine Nachricht mit einer kurzen Vorstellung von euch.**","view,balconygarden,lift,accessiblewithwheelchair,cable,broadbandinternet,dishwasher,washingmachine,tumbler,petsallowed",True,,2027-01-10
flatfox,86397470,,1050,,,3.0,75,,,Palmenweg 2,8200,Schaffhausen,47.748299742101,8.705801771287,https://flatfox.ch/de/wohnung/palmenweg-2-8200-schaffhausen/86397470/,APARTMENT,"Wir suchen zum 1.12.26 Nachmieter für diese günstige und günstig gelegene 3.5 Zimmer Wohnung 1.OG in Thayngen. Veloraum ( Schopf), Parkplatz inkl. ( je nachdem Platz für zwei Autos), Migros nur 80 m entfernt, Bahnhof nahe etc. Gerne melden für eine Besichtigung und weitere Fragen.",,False,,
flatfox,86397471,,1200,,,3.0,,,,Untere Gasse 12,8344,Bäretswil,47.332734742103,8.855861771285,https://flatfox.ch/de/wohnung/untere-gasse-12-8344-baretswil/86397471/,APARTMENT,"2 1/2 Zimmer Wohnung in Bäretswil zu vermieten   
  
Die gemütliche, moderne Parterre-Wohnung (2019 komplett renoviert) in einem altem Flarzhaus wird frei per 1. Januar 2027 oder früher nach Vereinbarung.   
  
Moderne Küche mit Glaskeramik und Geschirrspüler, Bad mit grosser Dusche, Waschmaschine in der Wohnung. Vinyl- und Plattenboden. Sitzplatz mit Lounge vor dem Haus zum Teilen mit 1 anderen Mieter. 1-2 gedeckte Parkplätze im Carport (hintereinander) inklusive. Keller.   
  
Lage: Bäretswil Oberdorf. Eine Bushaltestelle nach Wetzikon oder Bauma befindet sich vor dem Haus, der Fussweg ins Dorf (Coop und Volg) dauert ca. 8min. Hofladen mit Bioprodukten in der Nachbarschaft.   
  
Achtung: die Zimmerdecken sind tief, daher keine Interessenten über 1.75 Körpergrösse. Geheizt wird mit Holz im Schwedenofen und mit Elektroheizung.   
  
Preis 1200.- exkl.   
(Strom, Wasser und Entsorgung kommen zusätzlich dazu.)   
  
Nähe Auskunft unter 079 324 05 42",,False,,
flatfox,86397473,,2350,,,2.5,60,,,"Frohburgstrasse 325, 857 Zürich",8008,Zürich,47.403884042107,8.560131771284,https://flatfox.ch/de/wohnung/frohburgstrasse-325-857-zurich-8008-zurich/86397473/,APARTMENT,"Diese helle, individuell gestaltete Wohnung mit unverbaubarer, freier Aussicht in direkter Waldnähe am Zürichberg mit kurzem Fussweg zum Überlandpark und zum Universitätsareal Irchel, wird von einer privaten Person vermietet.   
  
Sie ist zentral gelegen, dennoch ruhig und bietet viel Privatsphäre. Innerhalb von 7 min sind sie am Schaffhauserplatz.   
  
Die Installation von einem Wallbox Anschluss ist möglich. Der Flughafen Zürich ist schnell erreichbar, ohne dass Fluglärm die Wohnanlage beeinträchtigt.   
  
Verfügbar ab 1.12.2026 (eventuell nach Absprache schon ab Mitte November)   
Zimmer 2,5   
Wohnfläche 60 qm   
Parkett, moderne schalldichte Fenster   
Etage 1   
letzte Renovation 2024   
Balkon mit Aussicht   
Glasfaser Breitband Anschluss   
Lift   
Velokeller   
Zürichberg Naherholungsgebiet direktschräg gegenüber   
Top ÖV Anbindung (Tram7/9, Bus 75)   
Nichtraucher, Haustiere müssen genehmigt werden   
Tiefgaragenparkplatz kann hinzu gemietet werden   
Besucherparkplätze vorhanden   
  
  
NEBENKOSTEN EXKL: 200.-   
  
Besichtigung und Kontakt   
BesichtigungBesichtigung nach Absprache   
KontaktSarah",,False,,
flatfox,86397491,,,2150,150,3.0,90,1,,Dorfstrasse 8,8605,Gutenswil,47.384247042108,8.716321771287,https://flatfox.ch/de/wohnung/dorfstrasse-8-8605-gutenswil/86397491/,APARTMENT,"**Modern renoviert, stilvoll ausgestattet und bereit für Ihr neues Zuhause:** Diese wunderschöne 3-Zimmer-Wohnung im 1. Obergeschoss begeistert mit einer neuen Küche, hochwertigem Echtholzparkett, modernen Fliesen und gleich zwei Balkonen – davon einer gedeckt. Ein eigener Waschturm und der praktische Wandschrank mit Garderobe sorgen für zusätzlichen Komfort im Alltag. Ein gedeckter Parkplatz kann dazu gemietet werden (CHF 70.-).  
Zentrale Lage: Mit der Buslinie 725 erreichen Sie in kurzer Zeit den Bahnhof Uster oder Bahnhof Schwerzenbach. Die Autobahn A15 (ehem. A53) ist zirka  
3 km entfernt. Sie erreichen in ca. 30 Minuten Zürich, Winterthur oder den Flughafen Kloten.  
Für einen schnellen Einkauf befindet sich der Volg direkt in unserer Liegenschaft. Viele verschiedene Einkaufsmöglichkeiten (Migros, Coop, Volkiland, Zänti Volketswil etc.) erreichen Sie in nur wenigen Autominuten in Volketswil, Dübendorf oder Uster.  
  
Haben wir Ihr Interesse geweckt? Senden Sie uns eine Anfrage über das Kontaktformular, dann erhalten Sie automatisch einen Link für den Besichtigungstermin.","parkingspace,balconygarden,dishwasher,cable,parquetflooring,tumbler,stonefloor,washingmachine",False,2026,2026-11-01
